"stateName","employment","Employment percent relative standard error","Hourly mean wage","annualmeanwage","Wage percent relative standard error","Hourly 10th percentile wage","Hourly 25th percentile wage","Hourly median wage","Hourly 75th percentile wage","Hourly 90th percentile wage","Annual 10th percentile wage","Annual 25th percentile wage","annualmedianwage","Annual 75th percentile wage","Annual 90th percentile wage","employmentperonekjobs","Location Quotient","area_code"
"Nevada","980","8.7","46.54","96800","3.5","27.71","34.34","41.36","54.07","69.43","57630","71420","86030","112460","144420","0.662","0.52","3200000"
"New Hampshire","780","16.1","46.79","97330","6.0","26.17","31.15","44.55","59.03","73.76","54420","64790","92670","122780","153410","1.151","0.91","3300000"
"New Jersey","4340","9.1","64.49","134140","2.5","35.13","46.21","62.77","80.01","95.34","73070","96120","130570","166410","198310","1.032","0.81","3400000"
"New Mexico","380","19.8","42.65","88720","5.7","24.82","30.59","41.84","48.56","60.62","51620","63620","87020","101000","126090","0.449","0.35","3500000"
"New York","16390","2.7","64.82","134830","1.1","32.15","41.77","61.96","82.68","102.09","66870","86890","128890","171970","212360","1.745","1.38","3600000"
"North Carolina","6640","5.0","60.55","125950","1.5","31.84","45.54","61.03","74.74","86.64","66220","94720","126940","155460","180220","1.385","1.09","3700000"
"North Dakota","240","25.0","49.24","102410","5.4","28.51","38.71","54.63","57.69","60.81","59300","80510","113620","120000","126480","0.567","0.45","3800000"
"Ohio","4660","4.5","46.89","97530","0.9","25.36","33.07","46.67","59.46","68.27","52740","68790","97070","123690","141990","0.852","0.67","3900000"
"Oklahoma","2130","7.5","44.72","93020","3.2","25.33","32.53","40.29","56.07","72.23","52690","67660","83810","116620","150230","1.281","1.01","4000000"
"Oregon","2640","5.7","59.85","124480","2.3","31.18","40.13","55.24","75.42","88.51","64850","83460","114910","156870","184090","1.360","1.07","4100000"
"Pennsylvania","7490","10.6","49.22","102370","2.7","25.38","33.72","46.76","61.27","77.05","52780","70150","97260","127440","160270","1.259","0.99","4200000"
"Rhode Island","900","13.7","61.24","127380","4.3","36.33","46.75","61.71","74.67","85.01","75570","97250","128350","155310","176820","1.848","1.46","4400000"
"South Carolina","2090","11.0","48.46","100790","1.3","29.14","35.82","45.82","57.45","73.48","60600","74510","95310","119500","152830","0.942","0.74","4500000"
"South Dakota","150","12.6","47.09","97940","3.0","30.85","40.35","43.97","54.82","64.41","64160","83930","91460","114030","133970","0.328","0.26","4600000"
"Tennessee","2090","26.0","46.97","97710","8.5","17.08","28.99","44.42","60.09","71.44","35520","60300","92400","124990","148580","0.648","0.51","4700000"
"Texas","20560","5.0","52.40","109000","1.2","24.79","36.57","48.12","65.05","80.36","51550","76060","100100","135310","167160","1.517","1.20","4800000"
"Utah","3530","7.1","48.93","101780","2.9","24.87","33.26","46.87","61.35","79.13","51740","69180","97490","127600","164580","2.105","1.66","4900000"
"Vermont","220","18.7","59.82","124430","8.4","36.00","38.51","56.49","71.65","96.73","74890","80100","117500","149030","201190","0.735","0.58","5000000"
"Virginia","4810","4.6","66.87","139080","1.3","36.05","48.40","65.62","85.32","101.56","74980","100680","136490","177460","211250","1.209","0.95","5100000"
"Washington","5640","5.3","71.50","148730","1.3","36.99","47.40","63.76","84.65","108.62","76940","98590","132620","176080","225920","1.613","1.27","5300000"
"West Virginia","180","24.3","45.35","94330","10.6","21.64","22.08","32.53","47.86","89.03","45020","45930","67660","99560","185190","0.266","0.21","5400000"
"Wisconsin","3090","5.7","50.60","105250","1.4","32.47","39.56","48.96","60.12","67.78","67540","82280","101850","125050","140980","1.070","0.84","5500000"
"Wyoming","NA",,"60.25","125330","15.8","34.64","54.64","62.68","72.55","73.02","72050","113640","130370","150900","151880",,,"5600000"
